timestamp,taskId,taskName,thread,event
2026-09-13T18:04:21.865366997Z,4,Cleanup temp files,pool-1-thread-1,STARTED on pool-1-thread-1
2026-09-13T18:04:21.893346031Z,10,Notify subscribers,pool-1-thread-4,STARTED on pool-1-thread-4
2026-09-13T18:04:21.893580688Z,2,Send email,pool-1-thread-3,STARTED on pool-1-thread-3
2026-09-13T18:04:21.893694301Z,7,Refresh cache,pool-1-thread-2,STARTED on pool-1-thread-2
2026-09-13T18:04:22.194603440Z,7,Refresh cache,pool-1-thread-2,COMPLETED
2026-09-13T18:04:22.195091363Z,3,Backup database,pool-1-thread-2,STARTED on pool-1-thread-2
2026-09-13T18:04:22.293875267Z,2,Send email,pool-1-thread-3,COMPLETED
2026-09-13T18:04:22.294638558Z,5,Sync inventory,pool-1-thread-3,STARTED on pool-1-thread-3
2026-09-13T18:04:22.402740128Z,10,Notify subscribers,pool-1-thread-4,FAILED (attempt 1): Simulated random failure for task 10
2026-09-13T18:04:22.403155383Z,10,Notify subscribers,pool-1-thread-4,RETRYING
2026-09-13T18:04:22.494190822Z,4,Cleanup temp files,pool-1-thread-1,COMPLETED
2026-09-13T18:04:22.494542264Z,8,Validate orders,pool-1-thread-1,STARTED on pool-1-thread-1
2026-09-13T18:04:22.903861623Z,10,Notify subscribers,pool-1-thread-4,FAILED permanently: Simulated random failure for task 10
2026-09-13T18:04:22.904631631Z,1,Generate report,pool-1-thread-4,STARTED on pool-1-thread-4
2026-09-13T18:04:23.195448100Z,5,Sync inventory,pool-1-thread-3,COMPLETED
2026-09-13T18:04:23.196117783Z,6,Compress logs,pool-1-thread-3,STARTED on pool-1-thread-3
2026-09-13T18:04:23.595096443Z,8,Validate orders,pool-1-thread-1,COMPLETED
2026-09-13T18:04:23.596302960Z,9,Archive old records,pool-1-thread-1,STARTED on pool-1-thread-1
2026-09-13T18:04:23.896465421Z,6,Compress logs,pool-1-thread-3,COMPLETED
2026-09-13T18:04:23.995612276Z,3,Backup database,pool-1-thread-2,COMPLETED
2026-09-13T18:04:24.105078611Z,1,Generate report,pool-1-thread-4,FAILED (attempt 1): Simulated random failure for task 1
2026-09-13T18:04:24.105787085Z,1,Generate report,pool-1-thread-4,RETRYING
2026-09-13T18:04:24.671151049Z,9,Archive old records,pool-1-thread-1,FAILED (attempt 1): Interrupted while executing task 9
2026-09-13T18:04:24.673067348Z,1,Generate report,pool-1-thread-4,FAILED permanently: Interrupted while executing task 1
2026-09-13T18:04:24.673526988Z,9,Archive old records,pool-1-thread-1,RETRYING
2026-09-13T18:04:24.673708594Z,9,Archive old records,pool-1-thread-1,FAILED permanently: Interrupted while executing task 9
