=== TaskFlow Performance Report ===
Generated at: 2026-09-04T11:21:25.123504457Z

Total tasks processed : 10
Completed              : 7
Failed                 : 3
Failure rate           : 30.00%

Average wait time      : 587.90 ms
Average execution time : 1114.10 ms
Throughput             : 3.56 tasks/sec

Run duration           : 2811 ms

=== Per-task Breakdown ===
TaskID,Name,Priority,Status,WaitMs,ExecMs,Retries
7,Refresh cache,1,COMPLETED,37,333,0
2,Send email,1,COMPLETED,37,431,0
4,Cleanup temp files,1,COMPLETED,37,632,0
10,Notify subscribers,1,COMPLETED,40,1037,1
5,Sync inventory,2,COMPLETED,469,901,0
8,Validate orders,2,COMPLETED,670,1100,0
6,Compress logs,3,COMPLETED,1370,1402,1
9,Archive old records,3,FAILED,1771,1071,1
1,Generate report,3,FAILED,1078,1763,1
3,Backup database,2,FAILED,370,2471,1
